tau_B,alpha,o,method,coverage_mean,coverage_std,width_mean,width_median,width_std
0.0,0.1,0,Donor-HCP-no-within,0.9778,0.1473482348060543,11.752042390811429,11.262119724268544,2.311425544245633
0.0,0.1,0,Donor-HCP-within,0.9778,0.1473482348060543,11.752042390811429,11.262119724268544,2.311425544245633
0.0,0.1,0,HCP,0.9778,0.1473482348060543,11.752042390811429,11.262119724268544,2.311425544245633
0.0,0.1,0,Pooling,0.8904,0.3124217685634189,7.8205685345867755,7.6605780379047985,1.774833159962736
0.0,0.1,0,Repeated,0.9328,0.2503930896408045,9.126801031631324,8.908585107731483,2.0792398774273475
0.0,0.1,0,S-HCP-within,0.9032,0.29571481100866426,9.666663498200078,9.100177642138007,3.790832995816284
0.0,0.1,0,Std-CP,1.0,0.0,,,
0.0,0.1,0,Subsampling,0.916,0.2774155581043996,9.315846745917682,8.799109182719707,3.207265469163804
0.0,0.1,5,Donor-HCP-no-within,0.9532,0.21123135121649753,10.063118153265814,9.658357124111125,2.5589988290946963
0.0,0.1,5,Donor-HCP-within,0.9638,0.18680615436291587,9.611095544749023,9.332281124792686,2.1659516702109314
0.0,0.1,5,HCP,0.9778,0.1473482348060543,11.752042390811429,11.262119724268544,2.311425544245633
0.0,0.1,5,Pooling,0.8904,0.3124217685634189,7.8205685345867755,7.6605780379047985,1.774833159962736
0.0,0.1,5,Repeated,0.9328,0.2503930896408045,9.126801031631324,8.908585107731483,2.0792398774273475
0.0,0.1,5,S-HCP-within,0.9036,0.2951685364211073,8.887052352085227,8.371764027546671,3.0122103602129164
0.0,0.1,5,Std-CP,0.754,0.4307216087229011,6.0767988391217544,5.05501969898503,4.7265263895765655
0.0,0.1,5,Subsampling,0.916,0.2774155581043996,9.315846745917682,8.799109182719707,3.207265469163804
0.0,0.1,10,Donor-HCP-no-within,0.9246,0.2640620869362945,9.074815504552323,8.654360343562146,2.4403393869103964
0.0,0.1,10,Donor-HCP-within,0.9376,0.24190482340936864,7.694297028952977,7.476112354793699,1.5687027768551731
0.0,0.1,10,HCP,0.9778,0.1473482348060543,11.752042390811429,11.262119724268544,2.311425544245633
0.0,0.1,10,Pooling,0.8904,0.3124217685634189,7.8205685345867755,7.6605780379047985,1.774833159962736
0.0,0.1,10,Repeated,0.9328,0.2503930896408045,9.126801031631324,8.908585107731483,2.0792398774273475
0.0,0.1,10,S-HCP-within,0.9032,0.2957148110086641,8.808299888179773,8.293713660456831,2.963465956332907
0.0,0.1,10,Std-CP,0.8398,0.36682812402338366,1937.3427039279343,12.515163081726207,132010.55473682695
0.0,0.1,10,Subsampling,0.916,0.2774155581043996,9.315846745917682,8.799109182719707,3.207265469163804
0.0,0.1,15,Donor-HCP-no-within,0.9152,0.2786117099064206,8.333965802097266,7.8297027029326784,1.9596552920435002
0.0,0.1,15,Donor-HCP-within,0.9184,0.2737817219725547,6.51926882593078,6.3567567327631185,1.1239719014828753
0.0,0.1,15,HCP,0.9778,0.1473482348060543,11.752042390811429,11.262119724268544,2.311425544245633
0.0,0.1,15,Pooling,0.8904,0.3124217685634189,7.8205685345867755,7.6605780379047985,1.774833159962736
0.0,0.1,15,Repeated,0.9328,0.2503930896408045,9.126801031631324,8.908585107731483,2.0792398774273475
0.0,0.1,15,S-HCP-within,0.9042,0.2943462042180728,8.345808670486816,7.599064666903508,2.2063525896271488
0.0,0.1,15,Std-CP,0.8838,0.3204966514968979,9.164636390702995,7.5968022009210925,6.986806911407746
0.0,0.1,15,Subsampling,0.916,0.2774155581043996,9.315846745917682,8.799109182719707,3.207265469163804
0.0,0.1,20,Donor-HCP-no-within,0.9064,0.2913005513249855,7.9675070163827115,7.621577278355984,1.7423247411648106
0.0,0.1,20,Donor-HCP-within,0.9226,0.26725180019027156,5.937157582640943,5.833786247556105,0.8192642469403589
0.0,0.1,20,HCP,0.9778,0.1473482348060543,11.752042390811429,11.262119724268544,2.311425544245633
0.0,0.1,20,Pooling,0.8904,0.3124217685634189,7.8205685345867755,7.6605780379047985,1.774833159962736
0.0,0.1,20,Repeated,0.9328,0.2503930896408045,9.126801031631324,8.908585107731483,2.0792398774273475
0.0,0.1,20,S-HCP-within,0.8932,0.3088896932053799,8.110329923513632,7.635499962874221,1.8764106445435325
0.0,0.1,20,Std-CP,0.9128,0.28215613127572314,6.927132134139206,6.355543803097588,2.9248472180637
0.0,0.1,20,Subsampling,0.916,0.2774155581043996,9.315846745917682,8.799109182719707,3.207265469163804
0.0,0.1,25,Donor-HCP-no-within,0.9274,0.2595047370313468,7.249176391507722,7.194521229016036,1.7818678612875454
0.0,0.1,25,Donor-HCP-within,0.938,0.24117967063313084,5.732684727417503,5.599071679227978,1.2448685022600843
0.0,0.1,25,HCP,0.9778,0.1473482348060543,11.752042390811429,11.262119724268544,2.311425544245633
0.0,0.1,25,Pooling,0.8904,0.3124217685634189,7.8205685345867755,7.6605780379047985,1.774833159962736
0.0,0.1,25,Repeated,0.9328,0.2503930896408045,9.126801031631324,8.908585107731483,2.0792398774273475
0.0,0.1,25,S-HCP-within,0.9104,0.28563640809869867,7.123258009619551,7.107255548600935,1.5872372161106911
0.0,0.1,25,Std-CP,0.9254,0.2627710975924596,6.7570456878301,6.319163907212035,2.4939927595392826
0.0,0.1,25,Subsampling,0.916,0.2774155581043996,9.315846745917682,8.799109182719707,3.207265469163804
0.0,0.1,30,Donor-HCP-no-within,0.917,0.275909813607724,6.504241215846164,6.131404700136491,2.1123603642653874
0.0,0.1,30,Donor-HCP-within,0.9488,0.22042748842993937,5.824860370632555,5.602805483442557,1.6758178511674844
0.0,0.1,30,HCP,0.9778,0.1473482348060543,11.752042390811429,11.262119724268544,2.311425544245633
0.0,0.1,30,Pooling,0.8904,0.3124217685634189,7.8205685345867755,7.6605780379047985,1.774833159962736
0.0,0.1,30,Repeated,0.9328,0.2503930896408045,9.126801031631324,8.908585107731483,2.0792398774273475
0.0,0.1,30,S-HCP-within,0.927,0.26016252018186914,7.188367303973093,6.963886338677413,2.291414512547321
0.0,0.1,30,Std-CP,0.934,0.24830692955745978,6.510412882511088,6.225188508800314,2.160259331230068
0.0,0.1,30,Subsampling,0.916,0.2774155581043996,9.315846745917682,8.799109182719707,3.207265469163804
0.0,0.1,35,Donor-HCP-no-within,0.916,0.2774155581044001,6.486336051633815,6.138925938618293,2.0083421543261633
0.0,0.1,35,Donor-HCP-within,0.9498,0.21837925244761652,6.073650876055003,5.911675399460605,1.6936062261138685
0.0,0.1,35,HCP,0.9778,0.1473482348060543,11.752042390811429,11.262119724268544,2.311425544245633
